DEBUG:2023-01-14 17:58:57,378:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:58:57,378:Vérification des conditions de blocage
DEBUG:2023-01-14 17:58:58,209:Affichage du niveau
DEBUG:2023-01-14 17:58:58,210:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:58:58,210:Vérification des conditions de blocage
DEBUG:2023-01-14 17:58:59,138:Affichage du niveau
DEBUG:2023-01-14 17:58:59,139:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:58:59,140:Vérification des conditions de blocage
DEBUG:2023-01-14 17:58:59,782:Affichage du niveau
DEBUG:2023-01-14 17:58:59,782:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:58:59,782:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:00,755:Affichage du niveau
DEBUG:2023-01-14 17:59:00,757:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:00,758:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:01,700:Affichage du niveau
DEBUG:2023-01-14 17:59:01,702:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:01,703:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:02,523:Affichage du niveau
DEBUG:2023-01-14 17:59:02,525:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:02,525:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:04,715:Affichage du niveau
DEBUG:2023-01-14 17:59:04,716:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:04,716:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:05,446:Affichage du niveau
DEBUG:2023-01-14 17:59:05,448:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:05,449:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:06,193:Affichage du niveau
DEBUG:2023-01-14 17:59:06,195:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:06,195:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:06,933:Affichage du niveau
DEBUG:2023-01-14 17:59:06,934:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:06,934:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:08,032:Affichage du niveau
DEBUG:2023-01-14 17:59:08,033:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:08,033:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:08,883:Affichage du niveau
DEBUG:2023-01-14 17:59:08,884:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:08,884:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:09,571:Affichage du niveau
DEBUG:2023-01-14 17:59:09,573:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:09,573:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:10,674:Affichage du niveau
DEBUG:2023-01-14 17:59:10,675:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:10,675:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:11,994:Affichage du niveau
DEBUG:2023-01-14 17:59:11,996:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:11,996:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:12,774:Affichage du niveau
DEBUG:2023-01-14 17:59:12,775:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:12,775:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:13,624:Affichage du niveau
DEBUG:2023-01-14 17:59:13,625:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:13,625:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:14,244:Affichage du niveau
DEBUG:2023-01-14 17:59:14,245:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:14,245:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:14,935:Affichage du niveau
DEBUG:2023-01-14 17:59:14,936:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:14,936:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:16,727:Affichage du niveau
DEBUG:2023-01-14 17:59:16,728:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:16,728:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:17,466:Affichage du niveau
DEBUG:2023-01-14 17:59:17,467:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:17,467:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:18,076:Affichage du niveau
DEBUG:2023-01-14 17:59:18,076:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:18,076:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:19,907:Affichage du niveau
DEBUG:2023-01-14 17:59:19,907:Vérification du niveau d'avancement de la partie
INFO:2023-01-14 17:59:50,375:La partie à été remportée
WARNING:2023-01-14 17:59:51,886:Avancée au niveau suppérieur
DEBUG:2023-01-14 17:59:51,886:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:59:51,887:Affichage du niveau
DEBUG:2023-01-14 17:59:51,889:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:51,889:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:51,889:modification du fichier de résolution
DEBUG:2023-01-14 17:59:55,744:Affichage du niveau
DEBUG:2023-01-14 17:59:55,744:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:55,744:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:56,405:Affichage du niveau
DEBUG:2023-01-14 17:59:56,406:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:56,406:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:57,079:Affichage du niveau
DEBUG:2023-01-14 17:59:57,081:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:57,081:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:57,897:Affichage du niveau
DEBUG:2023-01-14 17:59:57,898:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:57,898:Vérification des conditions de blocage
DEBUG:2023-01-14 17:59:59,278:Affichage du niveau
DEBUG:2023-01-14 17:59:59,279:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:59:59,279:Vérification des conditions de blocage
DEBUG:2023-01-14 18:00:00,233:Affichage du niveau
DEBUG:2023-01-14 18:00:00,234:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:00:00,234:Vérification des conditions de blocage
WARNING:2023-01-14 18:00:00,235:La partie est perdue, plus aucun mouvement possible
DEBUG:2023-01-14 18:03:12,831:La configuration du logger est terminée
DEBUG:2023-01-14 18:03:12,898:La fenetre principale a bien été crée
DEBUG:2023-01-14 18:03:12,911:Lecture du fichier de résolution
DEBUG:2023-01-14 18:03:12,912:modification du fichier de résolution
DEBUG:2023-01-14 18:03:12,912:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 18:03:12,912:Affichage du niveau
DEBUG:2023-01-14 18:03:12,913:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:12,913:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:17,124:Affichage du niveau
DEBUG:2023-01-14 18:03:17,126:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:17,127:Vérification des conditions de blocage
